Name,Sule,Sule Myodaw Hall,Yoke Shin Yone,Youk Lan,Youk Lann,Youk Lan 2,Kyauk Taing,U Htaung Bo,Bahan 3 Lan,Taung Phat Mote,A Shae Phat Mote,Pan Soe Tan,Bar Lan,Pan Soe Tan2,Railway,Kan Yeik Thar,Thein Gyi Zay,Kone Zay Tan,Bo Gyoke Zay,Phyar Lan,Phone Gyi Lan,San Pya,Tha Yet Taw,Pegu Club,Myaeni Gone,U Wisara,Shwedagon J,U Wisara Awine,Lanmadaw,PyaeAlone
A Shae Phat Mote,2.8193476933689734,2.552948218148726,2.3033566060607966,1.8994682212734137,1.5195649145513899,1.7610641144441361,1.2765054591727394,0.6641225117720619,0.6614857951025466,0.38517373930953086,0.0,2.908106811681916,2.6662935903134857,2.4198601052648376,2.026340970460688,1.3014056215680851,2.6845512073667814,2.4182079562188843,2.1425992295654037,1.8668155920138148,2.7222168568264355,2.4680338446922323,2.1632644325850925,1.5586574574390906,1.4149979770939949,1.469162117149055,1.414098616081041,0.6490963910190708,2.1471815367598523,1.3442559195347192
Pan Soe Tan,0.30894449596674145,0.4080934208792617,0.6113377546304166,1.0169119240320597,1.3892344316607212,1.1941422624276157,1.6469848273520196,2.3926496487401168,2.777718131343076,2.621889006789921,2.908106811681916,0.0,0.26708009821853135,0.5452710260541636,1.0127695114843902,2.114419511848549,0.9158559430013475,0.9601404574330221,1.0589312823160357,1.222687206677535,1.80091323846416,1.8160518663108935,1.895093067094635,2.6072797773218923,3.7924560252802424,1.6795880728281,1.5726840568147886,2.795367331532257,1.5730935913103024,3.1224130095689486
Bar Lan,0.42342185529804716,0.3193865644959842,0.4080904712688541,0.7675061724688859,1.1534082869364801,0.9339652064376122,1.3968213947251518,2.135622737349293,2.5159440461831712,2.392630198887668,2.6662935903134857,0.26708009821853135,0.0,0.2781911010095276,0.7456902805715778,1.8473394400473875,0.9579867474130269,0.9264874953347723,0.9534253866982797,1.0649178752812303,1.8197102070532336,1.7963596579613652,1.830400995898924,2.4688159531981357,3.6021647982901235,1.5026027494810617,1.367147086008744,2.5866258224814755,1.5041394537613215,2.9556558094092265
Pan Soe Tan2,0.6465519551900966,0.4315056817827675,0.3195759542557279,0.5262291590582805,0.9257146376762828,0.6686185195418163,1.1442040419945567,1.8707546538658677,2.2445061263089516,2.162818058704113,2.4198601052648376,0.5452710260541636,0.2781911010095276,0.0,0.46750380163350935,1.5691490408087951,1.0727751463167472,0.9711410782966481,0.9158323441803096,0.9534140869547632,1.8794481097904092,1.8173905498518643,1.8026153928963815,2.3479191802059676,3.4145734994346486,1.349748412601286,1.1792246142474958,2.3813135483443006,1.480471669443596,2.7981709596361233
Railway,1.0816385838017315,0.8236862337969033,0.5870883648069418,0.32111296022553315,0.643466705133683,0.2875289823108044,0.7633545913597727,1.4384871884379153,1.7940223572361385,1.8099272629490952,2.026340970460688,1.0127695114843902,0.7456902805715778,0.46750380163350935,0.0,1.1016530488514324,1.377470648487305,1.2001786669161734,1.0370659692791653,0.9410905304723076,2.0650783392874885,1.9471683006748923,1.8549030558085593,2.213028023996915,3.1326633323312785,1.202426938024781,0.9702555943508461,2.077646490816522,1.5594161182532966,2.5829742761704466
Kan Yeik Thar,2.160041250471249,1.8873953857195447,1.62481270415629,1.1905420833188711,1.0440223072548689,0.9741842782915296,0.7689633461731556,0.6462484727853252,0.8074884753907678,1.2966415309095365,1.3014056215680851,2.114419511848549,1.8473394400473875,1.5691490408087951,1.1016530488514324,0.0,2.317640204197189,2.0801217304319275,1.8297917072677718,1.595413159868825,2.7733186987419693,2.5776114395197176,2.3648615812944263,2.267907000527318,2.674575624697476,1.506786217039526,1.2638635659689483,1.6819589592637663,2.168738829165114,2.3739247482583017
Thein Gyi Zay,0.6077581519638391,0.6542901560316218,0.801817210152556,1.149994167767961,1.3105868304237294,1.364331594104814,1.6196697928295862,2.34615591729259,2.7698418793470325,2.329357932978666,2.6845512073667814,0.9158559430013475,0.9579867474130269,1.0727751463167472,1.377470648487305,2.317640204197189,0.0,0.26686782394716485,0.5452710251792398,0.8234620640885344,0.8853925491587177,0.9243517341752802,1.0702093713351557,1.925771530734713,3.2483855575463045,1.232471490795779,1.2791404393204489,2.3761140909306713,0.7851096348552974,2.510505057430328
Kone Zay Tan,0.6770438432575816,0.6072415186671684,0.6641689969728484,0.9398409870883424,1.05745650256833,1.1469028183399548,1.365160943310195,2.083557338438686,2.507826998058421,2.064624170726409,2.4182079562188843,0.9601404574330221,0.9264874953347723,0.9711410782966481,1.2001786669161734,2.0801217304319275,0.26686782394716485,0.0,0.2788015587811314,0.5568912295742031,0.9085450973601622,0.8701061640126492,0.937160378352203,1.724138683307675,3.017261938444377,0.9712378653485848,1.0123777356330874,2.121434103183287,0.6204300933373396,2.29175476385825
Bo Gyoke Zay,0.8229156106203437,0.6580200877655432,0.5971127893280336,0.7419781485008773,0.7936396876121632,0.9315093946473786,1.0978260217678704,1.8068342472397365,2.2314482478087605,1.792950582097152,2.1425992295654037,1.0589312823160357,0.9534253866982797,0.9158323441803096,1.0370659692791653,1.8297917072677718,0.5452710251792398,0.2788015587811314,0.0,0.2781910952209896,1.0287198526831893,0.9190200223317866,0.8880881440920575,1.552010875139032,2.795343162399941,0.7106824391814457,0.7339637272851679,1.8675641385383024,0.564679376866595,2.0900402199303425
Phyar Lan,1.031300414322972,0.8153693299638738,0.6631605887363943,0.6213132915439693,0.5514658912061253,0.7681893520264856,0.8431886729800107,1.5333436406830243,1.9582764582786087,1.5216584606480181,1.8668155920138148,1.222687206677535,1.0649178752812303,0.9534140869547632,0.9410905304723076,1.595413159868825,0.8234620640885344,0.5568912295742031,0.2781910952209896,0.0,1.1945403670894559,1.0335764475468245,0.9140225507348642,1.4050269776456659,2.577860569186044,0.4655566780158656,0.4558991992427049,1.6172495499100006,0.6292045142343536,1.899953461819367
